1.033210,1.328413,-2.509225,-0.805271,-0.805275,0.177125,-0.678969,-1.043051,-1.896679,-3.433211,-4.531365,-1.000000,12.909393
1.122754,2.320359,-0.374251,-1.402214,-1.402219,1.616774,0.621261,0.553897,-0.321851,-1.766462,-2.764466,-1.000000,12.728375
1.527884,2.750191,-0.916730,-2.020958,-1.947562,3.054670,2.360150,2.428904,1.734264,0.425862,-0.571089,-1.000000,12.480482
-0.909091,0.303030,-2.651515,0.840336,0.840344,1.257014,1.431356,1.459190,0.958344,-0.087062,-1.172597,1.000000,12.585361
-0.373692,0.074738,-1.718984,1.363636,1.363640,-0.508442,0.201253,0.109213,-0.220597,-1.072702,-2.265616,1.000000,12.756980
1.428571,1.879699,-0.300752,-0.597907,-0.597916,-0.270676,0.856542,0.651259,0.488515,-0.156090,-1.454851,-1.000000,12.680704
-0.076220,1.219512,-0.381098,-1.353383,-1.353379,0.746950,2.072552,1.839110,1.924221,1.289825,0.087499,-1.000000,12.509086
1.378254,1.454824,-0.689127,-0.457317,-0.457308,1.163851,2.227615,2.118126,2.289094,1.807122,0.741085,0.000000,12.451881
-1.589705,0.378501,-1.816805,1.148545,1.148549,0.030271,0.605310,0.913130,1.044347,0.711578,-0.130546,1.000000,12.594897
1.224178,1.300689,-0.306044,-1.059803,-1.059818,0.627396,1.239372,1.927716,2.019589,1.842296,1.165986,-1.000000,12.461414
-0.302801,0.378501,-0.605602,1.071155,1.071171,-0.575328,-0.083282,0.837332,0.858903,0.823436,0.340888,1.000000,12.594897
-0.376790,0.527506,-0.527506,0.454201,0.454184,-0.798784,-0.595322,0.346244,0.316270,0.457927,-0.012397,0.000000,12.652101
0.758150,1.592115,-0.151630,-0.602864,-0.602856,0.000002,0.083397,0.813381,0.833746,1.024756,0.669769,-1.000000,12.575827
1.474011,1.939488,-0.698216,-2.274450,-2.274451,1.830877,2.172227,2.678887,3.021485,3.208438,2.981645,-1.000000,12.289796
2.364066,2.442868,-2.364066,-1.551590,-1.551596,2.836885,3.238777,3.792942,4.444166,4.627017,4.549438,-1.000000,12.099108
0.813008,1.219512,-1.382114,-3.073286,-3.073293,4.617894,5.699200,6.411935,7.377733,7.580257,7.671946,-1.000000,11.727267
-0.473560,0.789266,-1.894238,3.008130,3.008143,0.615624,2.257300,2.946591,3.977578,4.176594,4.448605,1.000000,12.080040
0.626959,0.705329,-0.626959,0.710339,0.710320,-0.768014,1.300957,2.048084,2.966034,3.231812,3.563010,1.000000,12.165847
-1.306687,0.153728,-1.767871,1.959248,1.959247,-2.490384,-0.799372,-0.010233,0.676277,1.158937,1.465350,1.000000,12.404206
0.855365,1.088647,-0.155521,-1.152959,-1.152948,-1.088651,0.194403,0.886473,1.543493,2.233062,2.521829,-1.000000,12.261192
0.154679,1.314772,-0.077340,0.544323,0.544319,-0.649652,-0.564575,0.149531,0.757935,1.586766,1.840497,0.000000,12.327932
0.387597,1.550388,-0.775194,-0.232019,-0.232018,-0.062018,-0.620153,0.268740,0.817836,1.686577,1.922325,0.000000,12.299329
-0.077942,0.077942,-0.779423,-0.542636,-0.542615,0.592344,-0.358552,0.696271,1.266549,2.041850,2.322519,-1.000000,12.232591
-0.535988,0.153139,-1.148545,1.792673,1.792670,-1.102613,-1.983168,-1.153661,-0.570454,0.012128,0.459253,1.000000,12.451881
-1.280120,0.677711,-1.506024,1.684533,1.684533,-2.108440,-3.162662,-2.685753,-2.255280,-1.756077,-1.184928,1.000000,12.661637
-1.182557,0.000000,-2.069475,1.882530,1.882505,-3.030287,-4.042856,-4.326177,-3.976335,-3.574266,-2.936868,1.000000,12.899993
1.047120,1.196709,-0.448766,-1.182557,-1.182543,-1.166788,-2.370983,-3.131390,-2.733732,-2.414360,-1.767841,-1.000000,12.747445
0.222058,0.518135,-1.332346,1.047120,1.047120,-1.184306,-2.827536,-3.977302,-3.575129,-3.301257,-2.775899,1.000000,12.880926
-1.741655,0.145138,-2.249637,1.998520,1.998521,-2.075473,-4.172714,-5.428159,-5.257621,-5.027576,-4.690462,1.000000,13.138354
0.360231,0.432277,-0.864553,0.725689,0.725685,-1.916426,-4.128238,-5.537943,-5.648412,-5.567719,-5.321836,1.000000,13.233697
0.071839,0.718391,-1.077586,0.288184,0.288189,-1.637932,-3.692528,-5.033527,-5.664513,-5.660919,-5.502874,0.000000,13.271835
-1.747030,0.908456,-1.886792,2.801724,2.801730,-3.004897,-5.331939,-6.857682,-7.872124,-7.899376,-7.854652,1.000000,13.643676
-2.439024,0.609756,-2.439024,3.144654,3.144644,-4.268289,-6.910565,-8.794035,-10.149049,-10.246609,-10.286807,1.000000,14.072721
0.067797,0.067797,-1.016949,-0.067751,-0.067748,-2.888135,-5.701694,-7.945761,-9.457627,-9.768135,-9.875704,0.000000,14.063187
-1.206434,0.469169,-1.809651,1.152542,1.152527,-2.600523,-5.676931,-8.074159,-9.741944,-10.300254,-10.558519,1.000000,14.225269
0.267738,0.602410,-0.535475,0.134048,0.134057,-1.365459,-4.859433,-7.300306,-8.979245,-9.957157,-10.312354,0.000000,14.244339
1.971448,1.971448,-0.203943,-1.539491,-1.539496,0.720602,-2.460903,-5.030581,-6.862670,-8.157707,-8.549729,-1.000000,14.025048
